Mouse Model,Tissue,Sex,Age,Phenotype,Units,Value
5xFAD,Hippocampus,Male,4,Insoluble Abeta42,pg/mg,625702.1567
5xFAD,Hippocampus,Male,4,Insoluble Abeta42,pg/mg,1266062.808
5xFAD,Hippocampus,Male,4,Insoluble Abeta42,pg/mg,1298614.959
5xFAD,Hippocampus,Male,4,Insoluble Abeta42,pg/mg,1348271.142
5xFAD,Hippocampus,Male,4,Insoluble Abeta42,pg/mg,1979350.287
5xFAD,Hippocampus,Male,4,Insoluble Abeta42,pg/mg,2138954.832
5xFAD,Hippocampus,Male,8,Insoluble Abeta42,pg/mg,0
5xFAD,Hippocampus,Male,8,Insoluble Abeta42,pg/mg,0
5xFAD,Hippocampus,Male,8,Insoluble Abeta42,pg/mg,0
5xFAD,Hippocampus,Male,8,Insoluble Abeta42,pg/mg,0
5xFAD,Hippocampus,Male,8,Insoluble Abeta42,pg/mg,19681551.56
5xFAD,Hippocampus,Male,8,Insoluble Abeta42,pg/mg,34688762.34
5xFAD,Hippocampus,Male,12,Insoluble Abeta42,pg/mg,48593.79217
5xFAD,Hippocampus,Male,12,Insoluble Abeta42,pg/mg,16445189.42
5xFAD,Hippocampus,Male,12,Insoluble Abeta42,pg/mg,16962014.27
5xFAD,Hippocampus,Male,12,Insoluble Abeta42,pg/mg,17059527.86
5xFAD,Hippocampus,Male,12,Insoluble Abeta42,pg/mg,24828683.46
5xFAD,Hippocampus,Male,12,Insoluble Abeta42,pg/mg,38644071.56
5xFAD,Hippocampus,Male,18,Insoluble Abeta42,pg/mg,11199596.25
5xFAD,Hippocampus,Male,18,Insoluble Abeta42,pg/mg,16239116.32
5xFAD,Hippocampus,Male,18,Insoluble Abeta42,pg/mg,22999387.77
5xFAD,Hippocampus,Male,18,Insoluble Abeta42,pg/mg,23178693.32
5xFAD,Hippocampus,Male,18,Insoluble Abeta42,pg/mg,23525841.62
5xFAD,Hippocampus,Male,18,Insoluble Abeta42,pg/mg,26033132.93
5xFAD,Hippocampus,Male,18,Insoluble Abeta42,pg/mg,52684963.47
5xFAD,Hippocampus,Female,4,Insoluble Abeta42,pg/mg,569581.0286
5xFAD,Hippocampus,Female,4,Insoluble Abeta42,pg/mg,2942639.79
5xFAD,Hippocampus,Female,4,Insoluble Abeta42,pg/mg,3776445.602
5xFAD,Hippocampus,Female,4,Insoluble Abeta42,pg/mg,5657654.616
5xFAD,Hippocampus,Female,4,Insoluble Abeta42,pg/mg,6250048.197
5xFAD,Hippocampus,Female,4,Insoluble Abeta42,pg/mg,6312671.828
5xFAD,Hippocampus,Female,8,Insoluble Abeta42,pg/mg,0
5xFAD,Hippocampus,Female,8,Insoluble Abeta42,pg/mg,0
5xFAD,Hippocampus,Female,8,Insoluble Abeta42,pg/mg,12227734.44
5xFAD,Hippocampus,Female,8,Insoluble Abeta42,pg/mg,22759553.2
5xFAD,Hippocampus,Female,8,Insoluble Abeta42,pg/mg,25374871.01
5xFAD,Hippocampus,Female,8,Insoluble Abeta42,pg/mg,25719976.39
5xFAD,Hippocampus,Female,8,Insoluble Abeta42,pg/mg,31603090.56
5xFAD,Hippocampus,Female,12,Insoluble Abeta42,pg/mg,15718348.64
5xFAD,Hippocampus,Female,12,Insoluble Abeta42,pg/mg,23668303.25
5xFAD,Hippocampus,Female,12,Insoluble Abeta42,pg/mg,24789825.33
5xFAD,Hippocampus,Female,12,Insoluble Abeta42,pg/mg,25703068.74
5xFAD,Hippocampus,Female,12,Insoluble Abeta42,pg/mg,30326898.06
5xFAD,Hippocampus,Female,12,Insoluble Abeta42,pg/mg,36954917.77
5xFAD,Hippocampus,Female,18,Insoluble Abeta42,pg/mg,10039489.78
5xFAD,Hippocampus,Female,18,Insoluble Abeta42,pg/mg,22873099.14
5xFAD,Hippocampus,Female,18,Insoluble Abeta42,pg/mg,23285155.4
5xFAD,Hippocampus,Female,18,Insoluble Abeta42,pg/mg,24770801.31
5xFAD,Hippocampus,Female,18,Insoluble Abeta42,pg/mg,41767353.36
